>Common steps from all curves of the folder:
filename,orientation,Derivative of,step number,F1,F2,Fc,step start,step end,step length,filename,model,log_likelihood,Lc_ds,Lp_ds,Lp_ds_stderr,St_ds,Lc_ss,Lc_ss_stderr,Lp_ss,St_ss,f_offset,d_offset,Work_(pN*nm),Work_(kB*T)
20240807-084335 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-1f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-084335 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-1f,forward,Distance,1,12.87706450184334,12.671669189854313,12.774366845848826,969.1404238682417,977.0807115000273,7.940287631785623,,,,,,,,,,,,,,,
20240807-084335 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-1f,forward,Distance,2,13.343569130248184,9.505833514670933,11.424701322459558,976.586413288207,1004.4861209878468,27.899707699639748,,,,,,,,,,,,,,,
20240807-084335 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-1f,forward,Distance,3,18.6152078348501,18.334651819968094,18.4749298274091,1057.9492655321046,1067.9350343185724,9.985768786467816,,,,,,,,,,,,,,,
20240807-084350 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-1r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,1,11.63886018656105,8.661586487498816,10.150223337029933,947.6263186815731,972.1898832491526,24.56356456757942,,,,,,,,,,,,,,,
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,2,17.909123672779167,17.941541270668345,17.925332471723756,1038.6550694947205,1043.4220592373636,4.766989742643091,,,,,,,,,,,,,,,
20240807-085212 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2f,forward,Distance,3,31.41393425466468,30.54069524522375,30.977314749944213,1106.0631976478182,1118.1601583694783,12.096960721660025,,,,,,,,,,,,,,,
20240807-085227 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_1-2r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240807-110329 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-1f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-110329 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-1f,forward,Distance,1,11.152380994027862,7.762637134326793,9.457509064177327,1006.3378224596358,1032.0489946411453,25.711172181509482,,,,,,,,,,,,,,,
20240807-110329 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-1f,forward,Distance,2,17.161485701922253,17.175372033703333,17.168428867812793,1088.1041030031797,1093.1862244238466,5.082121420666908,,,,,,,,,,,,,,,
20240807-110329 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-1f,forward,Distance,3,18.01048894544915,17.95554432616614,17.983016635807644,1092.496071171463,1097.8035893883657,5.307518216902736,,,,,,,,,,,,,,,
20240807-110605 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-2f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-110605 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_2-2f,forward,Distance,1,9.574562844827557,6.759168550448088,8.166865697637823,1000.4562454451016,1023.0471392011823,22.59089375608073,,,,,,,,,,,,,,,
20240807-111739 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-1f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-111739 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-1f,forward,Distance,1,11.81874574847217,9.46271341209922,10.640729580285694,1230.4792213627961,1250.5267557201319,20.047534357335735,,,,,,,,,,,,,,,
20240807-111739 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-1f,forward,Distance,2,18.38210664425513,18.48379683035929,18.43295173730721,1335.63846818003,1345.4030083595703,9.76454017954029,,,,,,,,,,,,,,,
20240807-111755 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-1r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240807-111755 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-1r,reverse,Distance,1,17.82436616703067,17.764323008898184,17.794344587964428,1331.8455022295295,1340.408283372499,8.56278114296947,,,,,,,,,,,,,,,
20240807-111819 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-2f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240807-111819 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-2f,forward,Distance,1,10.196869135047216,8.399239717840409,9.298054426443812,1212.8834159432172,1230.6020414021887,17.718625458971474,,,,,,,,,,,,,,,
20240807-111819 FD Curve 2024-08-07_HIV-1_extFSE+AGG+ASO3_3-2f,forward,Distance,2,18.256802270854017,18.213575171422832,18.235188721138424,1335.6965065259299,1341.9112807763152,6.21477425038529,,,,,,,,,,,,,,,
