
Steps found by force derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240625-104157 FD Curve 2024-06-25_HIV-1_AGGextFSE-742_MgCl2_1-1f,forward,Force,1,9.883630739902848,8.073063771243618,8.978347255573233,1020.7948121634055,1035.9467066859143,15.15189452250877

Steps found by distance derivative:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240625-104157 FD Curve 2024-06-25_HIV-1_AGGextFSE-742_MgCl2_1-1f,forward,Distance,1,9.902022634803249,8.073063771243618,8.987543203023433,1021.0312667438386,1035.9467066859143,14.915439942075636
20240625-104157 FD Curve 2024-06-25_HIV-1_AGGextFSE-742_MgCl2_1-1f,forward,Distance,2,21.055425582611996,21.19907211155755,21.127248847084772,1141.3998994343503,1148.535606725147,7.135707290796745

Common steps:
filename,orientation,Derivative of,step #,F1,F2,Fc,step start,step end,step length
20240625-104157 FD Curve 2024-06-25_HIV-1_AGGextFSE-742_MgCl2_1-1f,forward,,0,,,,,,
20240625-104157 FD Curve 2024-06-25_HIV-1_AGGextFSE-742_MgCl2_1-1f,forward,Distance,1,9.902022634803249,8.073063771243618,8.987543203023433,1021.0312667438386,1035.9467066859143,14.915439942075636
